=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 224 <ALLOCATTING> , with memory size = 199.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 224 <ALLOCATTING> , with memory size = 135.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 224 <ALLOCATTING> , with memory size = 135.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 232 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 243 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 248 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 248 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 248 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 248 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 248 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 248 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 259 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 269 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 247.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 269 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 289 <ALLOCATTING> , with memory size = 103.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 291 <ALLOCATTING> , with memory size = 39.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 292 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 292 <ALLOCATTING> , with memory size = 167.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 292 <ALLOCATTING> , with memory size = 167.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 292 <ALLOCATTING> , with memory size = 167.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 292 <ALLOCATTING> , with memory size = 39.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 295 <ALLOCATTING> , with memory size = 7.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 319 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 329 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 119.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 320 | 383 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 345 <ALLOCATTING> , with memory size = 55.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 365 <ALLOCATTING> , with memory size = 55.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 369 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 369 <ALLOCATTING> , with memory size = 63.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 377 <ALLOCATTING> , with memory size = 31.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 387 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 387 <ALLOCATTING> , with memory size = 159.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 387 <ALLOCATTING> , with memory size = 31.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 404 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 404 <ALLOCATTING> , with memory size = 31.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
